combo,cell_count,removed,brain_region
PM-MS_114382-BLM0-PVC-RSN,5257,kept,PVC
PM-MS_38636-BLM0-PMC-RSN,5736,kept,PMC
PM-MS_272264-BLM0-PVC-RSN,4424,kept,PVC
PM-MS_64111-BLM0-PVC-RSN,6649,kept,PVC
PM-MS_56356-BLM0-DMNX-RSN,1102,kept,DMNX
PM-MS_69190-BLM0-DMNX-RSN,7189,kept,DMNX
PM-MS_114382-BLM0-PMC-RSN,7691,kept,PMC
PM-MS_841919-BLM0-PVC-RSN,5569,kept,PVC
PM-MS_92697-BLM0-PFC-RSN,6167,kept,PFC
PM-MS_6130-BLM0-PMC-RSN,9146,kept,PMC
PM-MS_55245-BLM0-PFC-RSN,9257,kept,PFC
PM-MS_56356-BLM0-PMC-RSN,2623,kept,PMC
PM-MS_616180-BLM0-PMC-RSN,8071,kept,PMC
PM-MS_56356-BLM0-PFC-RSN,2004,kept,PFC
PM-MS_55245-BLM0-PVC-RSN,3378,kept,PVC
PM-MS_46475-BLM0-PMC-RSN,2279,kept,PMC
PM-MS_114382-BLM0-PFC-RSN,8663,kept,PFC
PM-MS_840752-BLM0-PFC-RSN,8207,kept,PFC
PM-MS_272264-BLM0-GPI-RSN,6587,kept,GPI
PM-MS_56356-BLM0-PVC-RSN,1115,kept,PVC
PM-UD_11604_001-BLM0-PMC-RSN,5114,kept,PMC
PM-MS_69190-BLM0-PMC-RSN,4228,kept,PMC
PM-UD_11398_001-BLM0-PFC-RSN,5060,kept,PFC
PM-UM_HCTZZL-BLM0-GPI-RSN,2387,kept,GPI
PM-UM_HTM-BLM0-DMNX-RSN,1617,kept,DMNX
PM-MS_70978-BLM0-DMNX-RSN,3752,kept,DMNX
PM-UD_11494_001-BLM0-DMNX-RSN,6496,kept,DMNX
PM-UM_BEB19126-BLM0-PFC-RSN,6723,kept,PFC
PM-UM_BEB19157-BLM0-PVC-RSN,5589,kept,PVC
PM-UM_HBOQ-BLM0-PMC-RSN,9383,kept,PMC
PM-UD_11466_001-BLM0-GPI-RSN,5994,kept,GPI
PM-MS_69190-BLM0-PVC-RSN,8170,kept,PVC
PM-UD_11398_001-BLM0-PMC-RSN,8736,kept,PMC
PM-UD_11604_001-BLM0-PVC-RSN,6513,kept,PVC
PM-UM_HCTZZM-BLM0-PFC-RSN,10637,kept,PFC
PM-MS_92697-BLM0-PMC-RSN,4334,kept,PMC
PM-UM_BEB19126-BLM0-PVC-RSN,9630,kept,PVC
PM-UM_BEB19157-BLM0-GPI-RSN,4933,kept,GPI
PM-UM_HBOQ-BLM0-DMNX-RSN,6225,kept,DMNX
PM-UD_11610_001-BLM0-PFC-RSN,3514,kept,PFC
PM-UD_11197_001-BLM0-PMC-RSN,3765,kept,PMC
PM-MS_841919-BLM0-DMNX-RSN,2618,kept,DMNX
PM-UD_1052_001-BLM0-PVC-RSN,5111,kept,PVC
PM-UD_11485_001-BLM0-PMC-RSN,7828,kept,PMC
PM-UM_BEB19139-BLM0-GPI-RSN,7764,kept,GPI
PM-UD_11485_001-BLM0-PVC-RSN,7694,kept,PVC
PM-UM_BEB20014-BLM0-PFC-RSN,14307,kept,PFC
PM-MS_458379-BLM0-PFC-RSN,3972,kept,PFC
PM-MS_6130-BLM0-DMNX-RSN,1586,kept,DMNX
