Pool_name,Donor_name,qtltools_donID,vir_res,cell_counts,Lost_cells,status,demux_dons,final_dons,init_ratio,final_ratio
PD-Set7-C1,PM-MS_70978,PM-MS_70978,2317,1854,463,kept,donor6,donor6,0.103840810289965,0.097919087356079
PD-Set7-C1,PM-UD_11494_001,PM-UD_11494_001,3773,3212,561,kept,donor3,donor3,0.169094249988796,0.169641914017112
PD-Set7-C1,PM-UM_BEB19126,PM-UM_BEB19126,3932,3372,560,kept,donor2,donor2,0.176220140725138,0.178092320692933
PD-Set7-C1,PM-UM_BEB19157,PM-UM_BEB19157,3238,2738,500,kept,donor5,donor5,0.145117196253305,0.144607584239992
PD-Set7-C1,PM-UM_HBOQ,PM-UM_HBOQ,5361,4682,679,kept,donor1,donor1,0.240263523506476,0.24728002535122
PD-Set7-C1,donor5,PM-UD_11466_001,3692,3076,616,kept,donor4,donor4,0.16546407923632,0.162459068342664
PD-Set7-C2,PM-MS_70978,PM-MS_70978,2346,1898,448,kept,donor6,donor6,0.106206709221785,0.099878966478977
PD-Set7-C2,PM-UD_11494_001,PM-UD_11494_001,3829,3284,545,kept,donor3,donor3,0.173344198469827,0.172814818712835
PD-Set7-C2,PM-UM_BEB19126,PM-UM_BEB19126,3846,3351,495,kept,donor2,donor2,0.174113812304767,0.176340577803505
PD-Set7-C2,PM-UM_BEB19157,PM-UM_BEB19157,3236,2851,385,kept,donor5,donor5,0.146498257051021,0.150028942798506
PD-Set7-C2,PM-UM_HBOQ,PM-UM_HBOQ,5304,4701,603,kept,donor1,donor1,0.240119516501426,0.247381992317003
PD-Set7-C2,donor5,PM-UD_11466_001,3528,2918,610,kept,donor4,donor4,0.159717506451175,0.153554701889175
PD-Set9-C1,PM-MS_92697,PM-MS_92697,2922,2055,867,kept,donor3,donor4,0.155889884763124,0.133632461958642
PD-Set9-C1,PM-UM_BEB19126,PM-UM_BEB19126,5232,4592,640,kept,donor1,donor1,0.279129321382843,0.298608401612693
PD-Set9-C1,PM-UM_BEB19157,PM-UM_BEB19157,2776,2345,431,kept,donor4,donor3,0.148100725565514,0.152490570945507
PD-Set9-C1,PM-UM_HBOQ,PM-UM_HBOQ,3348,2976,372,kept,donor2,donor2,0.178617157490397,0.193523214982442
PD-Set9-C1,donor4,PM-UD_11610_001,2215,1676,539,kept,donor6,donor6,0.118171148100726,0.108986864351671
PD-Set9-C1,donor5,PM-UD_11197_001,2251,1734,517,kept,donor5,donor5,0.120091762697397,0.112758486149044
PD-Set9-C2,PM-MS_92697,PM-MS_92697,3177,2279,898,kept,donor3,donor4,0.154877394822795,0.133877694883393
PD-Set9-C2,PM-UM_BEB19126,PM-UM_BEB19126,5701,5038,663,kept,donor1,donor1,0.277921318188466,0.295952534805851
PD-Set9-C2,PM-UM_BEB19157,PM-UM_BEB19157,2994,2588,406,kept,donor4,donor3,0.14595622288305,0.152029607002291
PD-Set9-C2,PM-UM_HBOQ,PM-UM_HBOQ,3673,3249,424,kept,donor2,donor2,0.179057183249647,0.19085942548317
